0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
1,0,1050,1500,0,0,0,0,2400,0,0,0,0,0,0
2,1050,0,600,750,0,0,0,0,0,0,0,0,0,0
3,1500,600,0,0,0,1800,0,0,0,0,0,0,0,0
4,0,750,0,0,600,0,0,0,0,0,1950,0,0,0
5,0,0,0,600,0,1200,600,0,0,0,0,0,0,0
6,0,0,1800,0,1200,0,0,0,0,1050,0,0,0,1800
7,0,0,0,0,600,0,0,750,0,1350,0,0,0,0
8,2400,0,0,0,0,0,750,0,750,0,0,0,0,0
9,0,0,0,0,0,0,0,750,0,750,0,300,300,0
10,0,0,0,0,0,1050,1350,0,750,0,0,0,0,0
11,0,0,0,1950,0,0,0,0,0,0,0,600,750,0
12,0,0,0,0,0,0,0,0,300,0,600,0,0,300
13,0,0,0,0,0,0,0,0,300,0,750,0,0,150
14,0,0,0,0,0,1800,0,0,0,0,0,300,150,0
